FAKULTA_SP,ROK_NAR,STAT_OBCANSTVI,PSC_BYDL,PSC_CIZI,OBEC_BYDLISTE,OBEC_CIZI,STAT_BYDLISTE,NAZEV_S_SKOLY,STAT_S_SKOLY,ADRESA_S_SKOLY,CIS_OBORU,MATURITA,STRED_SKOLA_CIZI,STRED_SKOLA_CIZI_MISTO,STRED_SKOLA_CIZI_OBOR,VS_SKOLA,NAZEV_VS,STAT_VS,VS_ROK_ABSOL,ROK_PR,CISP_KOD,CZ_NAZEV,FORMA,TYP,PR_NAZEV,PR_OBOR,PR_KOMBINACE,SDRUZENE,KOLO_PRIHLASKY,skupina_oboru,stupen_vzdelani,OKRUH1,OKRUH2
PRF,2000.0,Česká republika,0,,nevyplněno,,Česká republika,"SŠ pedagogická, hotelnictví a služeb",Česká republika,"Litoměřice, Komenského 754/3 , 41201",7531M01,2019,,,,,,,,2019,B1101,Matematika,P,B,MA AJ,,MA AJ,,1,"Pedagogika, učitelství a sociální péče",Úplné střední odborné vzdělání s maturitou (bez vyučení),MA,AJ
PRF,1999.0,Česká republika,0,,nevyplněno,,Česká republika,Gymnázium,Česká republika,"Roudnice nad Labem, Havlíčkova 175 , 41301",7941K41,2018,,,,,,,2021.0,2019,B1101,Matematika,P,B,MA BI,,MA  BI,,1,Obecná příprava,Úplné střední všeobecné vzdělání (poskytují gymnázia),MA,BI
PRF,,Česká republika,0,,nevyplněno,,Česká republika,První české gymnázium v Karlových Varech,Česká republika,"Karlovy Vary, Národní 445/25 , 36001",7941K41,2019,,,,,,,,2019,B1101,Matematika,P,B,MA BI,,MA  BI,,1,Obecná příprava,Úplné střední všeobecné vzdělání (poskytují gymnázia),MA,BI
PRF,1998.0,Česká republika,41705,,Osek,,Česká republika,Gymnázium T. G. Masaryka,Česká republika,"Litvínov, Studentská 640 , 43601",7941K41,2018,,,,,,,,2019,B1101,Matematika,P,B,MA BI,,MA  BI,,1,Obecná příprava,Úplné střední všeobecné vzdělání (poskytují gymnázia),MA,BI
PRF,,Česká republika,0,,nevyplněno,,Česká republika,ZŠ T. G. Masaryka a gymnázium,Česká republika,"Česká Kamenice, Palackého 535 , 40721",7941K81,2018,,,,,,,,2019,B1101,Matematika,P,B,MA GEO,,MA GEO,,1,Obecná příprava,Úplné střední všeobecné vzdělání (poskytují gymnázia),MA,GEO
PRF,2000.0,Česká republika,40001,,Ústí nad Labem,,Česká republika,Gymnázium,Česká republika,"Ústí nad Labem, Jateční 243/22 , 40001",7941K41,2019,,,,Univerzita Jana Evangelisty Purkyně v Ústí nad Labem,Univerzita Jana Evangelisty Purkyně v Ústí nad Labem,Česká republika,2023.0,2019,B1101,Matematika,P,B,MA GEO,,MA GEO,,1,Obecná příprava,Úplné střední všeobecné vzdělání (poskytují gymnázia),MA,GEO
PRF,,Česká republika,0,,nevyplněno,,Česká republika,Gymnázium,Česká republika,"Děčín, Komenského nám. 340/4 , 40502",7941K81,2018,,,,UNIVERZITA KARLOVA V PRAZE,UNIVERZITA KARLOVA V PRAZE,Česká republika,,2019,B1101,Matematika,P,B,MA GEO,,MA GEO,,1,Obecná příprava,Úplné střední všeobecné vzdělání (poskytují gymnázia),MA,GEO
PRF,1999.0,Česká republika,0,,nevyplněno,,Česká republika,Podkrušnohorské gymnázium,Česká republika,"Most, Čsl. armády 1530/29 , 43401",7941K401,2019,,,,Univerzita Jana Evangelisty Purkyně v Ústí nad Labem,Univerzita Jana Evangelisty Purkyně v Ústí nad Labem,Česká republika,2021.0,2019,B1101,Matematika,P,B,MA GEO,,MA GEO,,1,Obecná příprava,Úplné střední všeobecné vzdělání (poskytují gymnázia),MA,GEO
PRF,,Česká republika,0,,nevyplněno,,Česká republika,Gymnázium,Česká republika,"Děčín, Komenského nám. 340/4 , 40502",7941K81,2019,,,,,,,,2019,B1101,Matematika,P,B,MA GEO,,MA GEO,,1,Obecná příprava,Úplné střední všeobecné vzdělání (poskytují gymnázia),MA,GEO
PRF,2000.0,Česká republika,41752,,Hostomice,,Česká republika,VOŠ zdravotnická a SŠ zdravotnická,Česká republika,"Ústí nad Labem, Palachova 700/35 , 40001",7842M04,2019,,,,Univerzita Jana Evangelisty Purkyně v Ústí nad Labem,Univerzita Jana Evangelisty Purkyně v Ústí nad Labem,Česká republika,2023.0,2019,B1101,Matematika,P,B,MA GEO,,MA GEO,,2,Obecně odborná příprava,Úplné střední odborné vzdělání s maturitou (bez vyučení),MA,GEO
